responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,rw_percentage_2020,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities
0,1972,Female,Other,Clerical and administrative ,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat disagree,Somewhat disagree,Strongly disagree,much more productive,2.0,8.0,2.0,2.0,0.5,8.0,3.5,2.0
1,1972,Male,Other,Managers,Between 1 and 4,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,less productive,2.0,7.0,3.0,3.0,0.0,7.0,3.0,3.0
2,1982,Male,Other,Managers,More than 200,Yes,One  parent family with dependent children,More than 5 years,Metro,2-3 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,3-4 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,less productive,6.0,1.0,6.0,5.0,5.0,2.0,7.0,7.0
3,1987,Female,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Strongly agree,Somewhat agree,same productivity,1.0,9.0,1.0,2.0,0.0,9.0,3.0,2.0
4,1991,Male,Other,Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,4-5 days,3-4 days,Strongly disagree,Strongly disagree,Strongly disagree,more productive,1.0,8.0,3.5,2.0,0.0,6.0,4.0,3.0
5,1989,Male,Retail Trade,Sales ,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,3-4 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1.0,8.0,2.0,2.0,0.0,7.0,3.0,3.0
6,1973,Male,Financial and Insurance Services,Clerical and administrative ,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Strongly agree,Strongly agree,much more productive,2.0,8.0,4.0,1.0,0.0,8.0,5.0,3.0
7,1992,Male,Other,Managers,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,much less productive,1.0,8.0,4.0,3.0,0.4,6.0,4.0,6.0
8,1977,Male,Other,Clerical and administrative ,More than 200,No,Single person,More than 5 years,Metro,3-4 days,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,3-4 days,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,much more productive,0.0,8.0,3.5,4.0,0.0,8.0,4.0,1.0
9,1985,Male,Other,Managers,More than 200,No,Group household,More than 5 years,Metro,2-3 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,0-1 days,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,less productive,3.0,8.5,4.0,2.0,1.0,8.5,6.0,2.0
10,1980,Female,Other,Clerical and administrative ,More than 200,No,Single person,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,4-5 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,3.0,8.0,3.0,2.0,0.5,8.0,5.0,2.0
11,1989,Male,Financial and Insurance Services,Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,2.0,10.0,3.0,2.0,0.5,12.0,4.0,2.0
12,1994,Female,Financial and Insurance Services,Professionals,More than 200,No,Single person,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Strongly agree,less productive,2.0,8.0,1.0,1.0,0.0,9.0,2.0,1.0
13,1970,Female,"Professional, Scientific and Technical Services",Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,much more productive,1.0,12.0,4.0,1.0,0.0,13.0,5.0,1.0
14,1962,Female,Other,Clerical and administrative ,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Strongly agree,Somewhat agree,Strongly agree,same productivity,1.0,5.0,3.0,2.0,0.5,5.0,4.0,2.0
15,1959,Male,Health Care and Social Assistance,Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,same productivity,2.5,8.0,4.0,1.5,0.5,9.0,6.0,2.0
16,1971,Female,Other,Clerical and administrative ,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much more productive,0.5,8.0,2.0,2.0,0.25,9.0,2.0,2.0
17,1960,Male,Financial and Insurance Services,Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,0-1 days,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,2-3 days,2-3 days,Somewhat disagree,Somewhat agree,Strongly agree,much less productive,3.0,10.0,2.0,2.0,1.0,12.0,2.0,2.0
18,1966,Male,"Professional, Scientific and Technical Services",Sales ,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,1-2 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,1-2 days,2-3 days,Strongly agree,Strongly agree,Strongly agree,much more productive,0.5,4.0,8.0,0.5,0.0,5.0,8.0,0.5
19,1969,Male,Other,Other,More than 200,No,Couple with dependent children,More than 5 years,Metro,0-1 days,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,2-3 days,2-3 days,Strongly disagree,Strongly disagree,Somewhat disagree,much more productive,2.0,8.0,1.0,3.0,0.5,8.0,1.5,3.0
20,1961,Male,Other,Managers,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,same productivity,3.0,8.0,2.0,2.0,0.5,8.0,4.0,3.0
21,1969,Male,Other,Clerical and administrative ,More than 200,No,Couple with dependent children,Between 6 and 12 months,Metro,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,3-4 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,much more productive,2.0,7.0,9.0,6.0,0.5,9.0,9.5,5.0
