responder_id,birth_year,gender,industry_desc,occupation_desc,organization_size,manage_others,household,years_at_job,metro_or_regional,rw_percentage_2020,org_encouraged_rw,org_prepared_for_rw,rw_is_common_at_org,rw_permission_is_attainable,rw_collaboration_easy,preferred_rw_percentage_2020,preferred_rw_percentage_future,if_no_covid_employer_encourage_rw,if_no_covid_employer_support_rw,if_no_covid_i_would_have_choice_about_rw,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities,commute_time_difference
0,1972,Female,Other,Clerical and administrative ,Between 20 and 199,No,Couple with no dependent children,More than 5 years,Regional,4-5 days,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat disagree,Somewhat disagree,Strongly disagree,much more productive,2,8,2,2,0.5,8,3.5,2,1.5
1,1972,Male,Other,Managers,Between 1 and 4,Yes,Couple with dependent children,More than 5 years,Metro,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,1-2 days,1-2 days,Somewhat agree,Somewhat agree,Somewhat agree,less productive,2,7,3,3,0,7,3,3,2
2,1982,Male,Other,Managers,More than 200,Yes,One  parent family with dependent children,More than 5 years,Metro,2-3 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,3-4 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,less productive,6,1,6,5,5,2,7,7,1
3,1987,Female,"Professional, Scientific and Technical Services",Professionals,Between 20 and 199,No,Couple with dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Strongly agree,Somewhat agree,same productivity,1,9,1,2,0,9,3,2,1
4,1991,Male,Other,Managers,Between 5 and 19,Yes,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,4-5 days,3-4 days,Strongly disagree,Strongly disagree,Strongly disagree,more productive,1,8,3.5,2,0,6,4,3,1
5,1989,Male,Retail Trade,Sales ,Between 20 and 199,No,Single person,Between 1 and 5 years,Metro,3-4 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,1,8,2,2,0,7,3,3,1
6,1973,Male,Financial and Insurance Services,Clerical and administrative ,More than 200,No,Couple with dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Strongly agree,Strongly agree,much more productive,2,8,4,1,0,8,5,3,2
7,1992,Male,Other,Managers,Between 5 and 19,Yes,Couple with dependent children,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,much less productive,1,8,4,3,0.4,6,4,6,0.6
8,1977,Male,Other,Clerical and administrative ,More than 200,No,Single person,More than 5 years,Metro,3-4 days,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Somewhat agree,3-4 days,1-2 days,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,much more productive,0,8,3.5,4,0,8,4,1,0
9,1985,Male,Other,Managers,More than 200,No,Group household,More than 5 years,Metro,2-3 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Neither agree nor disagree,0-1 days,0-1 days,Somewhat agree,Somewhat agree,Somewhat agree,less productive,3,8.5,4,2,1,8.5,6,2,2
10,1980,Female,Other,Clerical and administrative ,More than 200,No,Single person,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,4-5 days,3-4 days,Somewhat agree,Somewhat agree,Somewhat agree,same productivity,3,8,3,2,0.5,8,5,2,2.5
11,1989,Male,Financial and Insurance Services,Professionals,More than 200,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,2-3 days,Somewhat agree,Somewhat agree,Somewhat agree,more productive,2,10,3,2,0.5,12,4,2,1.5
12,1994,Female,Financial and Insurance Services,Professionals,More than 200,No,Single person,Between 6 and 12 months,Metro,4-5 days,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,2-3 days,2-3 days,Somewhat agree,Somewhat agree,Strongly agree,less productive,2,8,1,1,0,9,2,1,2
13,1970,Female,"Professional, Scientific and Technical Services",Managers,Between 20 and 199,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,4-5 days,Neither agree nor disagree,Somewhat agree,Somewhat agree,much more productive,1,12,4,1,0,13,5,1,1
14,1962,Female,Other,Clerical and administrative ,Between 5 and 19,No,Couple with dependent children,More than 5 years,Metro,2-3 days,Somewhat agree,Strongly agree,Neither agree nor disagree,Strongly agree,Somewhat agree,2-3 days,2-3 days,Strongly agree,Somewhat agree,Strongly agree,same productivity,1,5,3,2,0.5,5,4,2,0.5
15,1959,Male,Health Care and Social Assistance,Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,4-5 days,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,4-5 days,4-5 days,Somewhat agree,Somewhat agree,Strongly agree,same productivity,2.5,8,4,1.5,0.5,9,6,2,2
16,1971,Female,Other,Clerical and administrative ,Between 1 and 4,No,Couple with no dependent children,More than 5 years,Metro,4-5 days,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,4-5 days,2-3 days,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,much more productive,0.5,8,2,2,0.25,9,2,2,0.25
17,1960,Male,Financial and Insurance Services,Professionals,More than 200,Yes,Couple with no dependent children,Between 1 and 5 years,Metro,0-1 days,Strongly agree,Neither agree nor disagree,Strongly agree,Strongly agree,Somewhat disagree,2-3 days,2-3 days,Somewhat disagree,Somewhat agree,Strongly agree,much less productive,3,10,2,2,1,12,2,2,2
