responder_id,birth_year,gender,industry_desc,occupation_desc,manage_others,household,years_at_job,metro_or_regional
0,1972,Female,Other,Clerical and administrative ,No,Couple with no dependent children,More than 5 years,Regional
1,1972,Male,Other,Managers,Yes,Couple with dependent children,More than 5 years,Metro
2,1982,Male,Other,Managers,Yes,One  parent family with dependent children,More than 5 years,Metro
3,1987,Female,"Professional, Scientific and Technical Services",Professionals,No,Couple with dependent children,Between 1 and 5 years,Metro
4,1991,Male,Other,Managers,Yes,Couple with no dependent children,More than 5 years,Metro
5,1989,Male,Retail Trade,Sales ,No,Single person,Between 1 and 5 years,Metro
6,1973,Male,Financial and Insurance Services,Clerical and administrative ,No,Couple with dependent children,More than 5 years,Metro
7,1992,Male,Other,Managers,Yes,Couple with dependent children,Between 6 and 12 months,Metro
8,1977,Male,Other,Clerical and administrative ,No,Single person,More than 5 years,Metro
9,1985,Male,Other,Managers,No,Group household,More than 5 years,Metro
10,1980,Female,Other,Clerical and administrative ,No,Single person,Between 6 and 12 months,Metro
11,1989,Male,Financial and Insurance Services,Professionals,No,Couple with no dependent children,More than 5 years,Metro
12,1994,Female,Financial and Insurance Services,Professionals,No,Single person,Between 6 and 12 months,Metro
13,1970,Female,"Professional, Scientific and Technical Services",Managers,Yes,Couple with no dependent children,Between 1 and 5 years,Metro
14,1962,Female,Other,Clerical and administrative ,No,Couple with dependent children,More than 5 years,Metro
15,1959,Male,Health Care and Social Assistance,Professionals,Yes,Couple with no dependent children,Between 1 and 5 years,Metro
16,1971,Female,Other,Clerical and administrative ,No,Couple with no dependent children,More than 5 years,Metro
17,1960,Male,Financial and Insurance Services,Professionals,Yes,Couple with no dependent children,Between 1 and 5 years,Metro
18,1966,Male,"Professional, Scientific and Technical Services",Sales ,Yes,Couple with dependent children,Between 6 and 12 months,Metro
19,1969,Male,Other,Other,No,Couple with dependent children,More than 5 years,Metro
20,1961,Male,Other,Managers,No,Couple with no dependent children,More than 5 years,Metro
21,1969,Male,Other,Clerical and administrative ,No,Couple with dependent children,Between 6 and 12 months,Metro
22,1959,Male,Other,Professionals,No,Couple with dependent children,Between 1 and 5 years,Metro
23,1963,Male,Other,Clerical and administrative ,No,Couple with no dependent children,More than 5 years,Metro
24,1962,Male,Financial and Insurance Services,Professionals,Yes,Couple with no dependent children,More than 5 years,Metro
25,1965,Male,Other,Managers,Yes,Couple with dependent children,More than 5 years,Metro
26,1962,Female,Financial and Insurance Services,Professionals,Yes,Other one family household,More than 5 years,Metro
27,1963,Female,Other,Clerical and administrative ,No,Couple with dependent children,More than 5 years,Metro
28,1984,Female,"Professional, Scientific and Technical Services",Professionals,Yes,Couple with dependent children,Between 1 and 5 years,Regional
29,1957,Male,Education and Training,Professionals,No,Single person,More than 5 years,Regional
30,1962,Male,Other,Managers,Yes,Couple with dependent children,More than 5 years,Metro
31,1958,Male,Financial and Insurance Services,Managers,No,Couple with dependent children,More than 5 years,Metro
32,1961,Male,Other,Managers,Yes,Couple with no dependent children,Between 6 and 12 months,Metro
33,1959,Male,Information Media and Telecommunications,Managers,No,Couple with dependent children,Between 6 and 12 months,Metro
34,1980,Female,Retail Trade,Clerical and administrative ,No,Couple with dependent children,More than 5 years,Metro
35,1991,Female,Other,Clerical and administrative ,No,Single person,More than 5 years,Metro
36,1973,Male,Information Media and Telecommunications,Managers,Yes,Couple with dependent children,More than 5 years,Metro
37,1971,Female,Education and Training,Professionals,No,Single person,Between 1 and 5 years,Metro
38,1996,Male,"Professional, Scientific and Technical Services",Professionals,No,Single person,Between 6 and 12 months,Metro
39,1975,Male,Information Media and Telecommunications,Managers,Yes,Couple with dependent children,More than 5 years,Metro
40,1996,Female,Other,Professionals,Yes,Single person,Between 6 and 12 months,Metro
41,1987,Male,"Professional, Scientific and Technical Services",Professionals,No,Couple with dependent children,Between 6 and 12 months,Metro
42,1966,Female,Health Care and Social Assistance,Other,No,Couple with no dependent children,Between 6 and 12 months,Metro
43,1976,Female,Retail Trade,Managers,No,Single person,Between 1 and 5 years,Metro
44,1967,Female,Other Services,Sales ,No,Couple with dependent children,More than 5 years,Metro
45,1965,Male,"Professional, Scientific and Technical Services",Professionals,Yes,Couple with dependent children,More than 5 years,Metro
46,1961,Female,Health Care and Social Assistance,Professionals,No,Couple with no dependent children,More than 5 years,Metro
47,1964,Male,Financial and Insurance Services,Managers,Yes,Single person,More than 5 years,Metro
48,1978,Female,Retail Trade,Managers,Yes,Couple with no dependent children,More than 5 years,Metro
49,1979,Male,Information Media and Telecommunications,Managers,Yes,Multiple family household,Between 6 and 12 months,Metro
50,1974,Male,Other,Clerical and administrative ,No,Couple with dependent children,More than 5 years,Metro
51,1969,Male,Other,Professionals,No,Single person,More than 5 years,Regional
52,1995,Female,Retail Trade,Sales ,Yes,Couple with no dependent children,Between 1 and 5 years,Metro
53,1960,Female,Retail Trade,Managers,Yes,Couple with no dependent children,More than 5 years,Metro
54,1985,Male,Other,Managers,Yes,Single person,More than 5 years,Metro
55,1962,Male,Other Services,Other,No,Single person,More than 5 years,Metro
56,1964,Male,Financial and Insurance Services,Professionals,Yes,Couple with dependent children,More than 5 years,Metro
57,1965,Male,Health Care and Social Assistance,Managers,Yes,Single person,Between 1 and 5 years,Metro
58,1988,Male,Other,Professionals,Yes,Couple with no dependent children,Between 1 and 5 years,Metro
59,1959,Male,Financial and Insurance Services,Professionals,Yes,Couple with no dependent children,More than 5 years,Regional
60,1966,Female,Other,Managers,Yes,Couple with no dependent children,More than 5 years,Metro
61,1960,Male,Financial and Insurance Services,Managers,Yes,Couple with dependent children,Between 6 and 12 months,Metro
62,1979,Female,Information Media and Telecommunications,Managers,Yes,Multiple family household,Between 1 and 5 years,Metro
63,1966,Female,Other Services,Professionals,No,Single person,More than 5 years,Metro
64,1956,Male,Education and Training,Professionals,Yes,Couple with no dependent children,More than 5 years,Metro
65,1962,Female,Health Care and Social Assistance,Professionals,No,Couple with no dependent children,More than 5 years,Metro
66,1957,Male,Other,Managers,Yes,Couple with dependent children,More than 5 years,Metro
67,1986,Male,Health Care and Social Assistance,Clerical and administrative ,Yes,Single person,More than 5 years,Metro
68,1987,Female,Other,Clerical and administrative ,No,Other one family household,Between 1 and 5 years,Metro
69,1964,Female,Retail Trade,Professionals,Yes,Couple with dependent children,More than 5 years,Metro
70,1961,Male,"Professional, Scientific and Technical Services",Professionals,Yes,Couple with no dependent children,More than 5 years,Metro
71,1987,Female,Financial and Insurance Services,Professionals,No,Couple with dependent children,Between 1 and 5 years,Metro
72,1959,Female,"Professional, Scientific and Technical Services",Professionals,No,Single person,More than 5 years,Metro
73,1985,Female,"Professional, Scientific and Technical Services",Professionals,No,Couple with dependent children,More than 5 years,Metro
74,1985,Female,Education and Training,Professionals,No,Couple with dependent children,More than 5 years,Metro
75,1992,Female,Information Media and Telecommunications,Managers,Yes,Single person,More than 5 years,Metro
76,1961,Female,Other,Managers,Yes,Single person,Between 1 and 5 years,Regional
