responder_id,rw_percentage_2020,preferred_rw_percentage_2020,preferred_rw_percentage_future,productivity_remote_vs_office,inperson_hours__commuting,inperson_hours__working,inperson_hours__personal_family_time,inperson_hours_domestic_responsibilities,remote_hours_commuting,remote_hours_working,remote_hours_personal_family_time,remote_hours_domestic_responsibilities,commute_time_difference
0,4-5 days,4-5 days,4-5 days,much more productive,2.0,8.0,2.0,2.0,0.5,8.0,3.5,2.0,1.5
1,1-2 days,1-2 days,1-2 days,less productive,2.0,7.0,3.0,3.0,0.0,7.0,3.0,3.0,2.0
2,2-3 days,3-4 days,3-4 days,less productive,6.0,1.0,6.0,5.0,5.0,2.0,7.0,7.0,1.0
3,4-5 days,4-5 days,4-5 days,same productivity,1.0,9.0,1.0,2.0,0.0,9.0,3.0,2.0,1.0
4,4-5 days,4-5 days,3-4 days,more productive,1.0,8.0,3.5,2.0,0.0,6.0,4.0,3.0,1.0
5,3-4 days,2-3 days,2-3 days,same productivity,1.0,8.0,2.0,2.0,0.0,7.0,3.0,3.0,1.0
6,4-5 days,4-5 days,4-5 days,much more productive,2.0,8.0,4.0,1.0,0.0,8.0,5.0,3.0,2.0
7,4-5 days,4-5 days,4-5 days,much less productive,1.0,8.0,4.0,3.0,0.4,6.0,4.0,6.0,0.6
8,3-4 days,3-4 days,1-2 days,much more productive,0.0,8.0,3.5,4.0,0.0,8.0,4.0,1.0,0.0
9,2-3 days,0-1 days,0-1 days,less productive,3.0,8.5,4.0,2.0,1.0,8.5,6.0,2.0,2.0
10,4-5 days,4-5 days,3-4 days,same productivity,3.0,8.0,3.0,2.0,0.5,8.0,5.0,2.0,2.5
11,4-5 days,4-5 days,2-3 days,more productive,2.0,10.0,3.0,2.0,0.5,12.0,4.0,2.0,1.5
12,4-5 days,2-3 days,2-3 days,less productive,2.0,8.0,1.0,1.0,0.0,9.0,2.0,1.0,2.0
13,4-5 days,4-5 days,4-5 days,much more productive,1.0,12.0,4.0,1.0,0.0,13.0,5.0,1.0,1.0
14,2-3 days,2-3 days,2-3 days,same productivity,1.0,5.0,3.0,2.0,0.5,5.0,4.0,2.0,0.5
15,4-5 days,4-5 days,4-5 days,same productivity,2.5,8.0,4.0,1.5,0.5,9.0,6.0,2.0,2.0
16,4-5 days,4-5 days,2-3 days,much more productive,0.5,8.0,2.0,2.0,0.25,9.0,2.0,2.0,0.25
17,0-1 days,2-3 days,2-3 days,much less productive,3.0,10.0,2.0,2.0,1.0,12.0,2.0,2.0,2.0
18,1-2 days,1-2 days,2-3 days,much more productive,0.5,4.0,8.0,0.5,0.0,5.0,8.0,0.5,0.5
19,0-1 days,2-3 days,2-3 days,much more productive,2.0,8.0,1.0,3.0,0.5,8.0,1.5,3.0,1.5
20,4-5 days,4-5 days,4-5 days,same productivity,3.0,8.0,2.0,2.0,0.5,8.0,4.0,3.0,2.5
21,4-5 days,3-4 days,3-4 days,much more productive,2.0,7.0,9.0,6.0,0.5,9.0,9.5,5.0,1.5
22,4-5 days,4-5 days,2-3 days,more productive,1.5,7.5,4.0,3.0,1.0,7.5,2.0,2.0,0.5
23,1-2 days,2-3 days,2-3 days,much more productive,2.0,8.0,10.0,4.0,0.0,8.0,12.0,4.0,2.0
24,4-5 days,4-5 days,3-4 days,much more productive,3.0,10.0,3.0,2.0,1.0,11.0,5.0,2.0,2.0
25,0-1 days,0-1 days,0-1 days,much less productive,2.0,10.0,10.0,2.0,0.0,10.0,10.0,4.0,2.0
26,4-5 days,2-3 days,2-3 days,less productive,2.0,6.0,0.5,0.0,0.0,8.0,1.0,0.0,2.0
27,0-1 days,0-1 days,4-5 days,same productivity,0.5,6.0,8.0,2.0,0.5,6.0,10.0,2.0,0.0
28,1-2 days,1-2 days,1-2 days,much more productive,1.0,8.0,5.0,2.0,1.0,8.0,6.0,6.0,0.0
29,4-5 days,3-4 days,3-4 days,much more productive,2.0,8.0,4.0,0.0,0.0,8.0,5.0,1.0,2.0
30,4-5 days,4-5 days,3-4 days,less productive,1.0,8.5,3.0,2.0,0.0,9.5,4.0,3.0,1.0
31,4-5 days,4-5 days,4-5 days,more productive,4.0,8.5,3.5,1.0,0.0,9.5,3.5,1.0,4.0
32,4-5 days,1-2 days,1-2 days,much less productive,2.0,8.0,8.0,6.0,1.0,10.0,5.0,8.0,1.0
33,4-5 days,2-3 days,2-3 days,much more productive,1.0,6.0,2.0,1.0,1.0,8.0,2.0,1.0,0.0
34,4-5 days,4-5 days,3-4 days,same productivity,0.5,8.0,3.0,5.0,0.0,8.0,4.0,4.0,0.5
35,1-2 days,1-2 days,0-1 days,same productivity,1.5,9.0,4.0,1.0,0.5,9.0,5.0,1.0,1.0
36,2-3 days,2-3 days,2-3 days,much more productive,1.0,10.0,2.0,2.0,0.0,12.0,2.0,3.0,1.0
37,2-3 days,4-5 days,0-1 days,much more productive,1.0,12.0,2.0,3.0,0.5,12.0,3.0,3.0,0.5
38,3-4 days,3-4 days,2-3 days,less productive,3.0,8.0,4.0,1.0,1.0,9.0,5.0,1.0,2.0
39,4-5 days,2-3 days,2-3 days,more productive,1.0,8.0,4.0,2.0,0.2,9.0,4.0,2.0,0.8
40,1-2 days,0-1 days,1-2 days,less productive,2.0,10.0,2.0,1.0,0.5,10.0,3.0,3.0,1.5
41,4-5 days,4-5 days,2-3 days,more productive,2.0,8.5,4.0,1.0,0.5,9.0,5.0,2.0,1.5
42,4-5 days,4-5 days,4-5 days,much more productive,4.0,8.0,2.0,1.0,0.0,10.0,2.0,1.0,4.0
43,3-4 days,3-4 days,2-3 days,much more productive,2.0,7.0,11.0,3.0,0.0,8.0,12.0,4.0,2.0
44,4-5 days,2-3 days,2-3 days,more productive,1.0,8.0,5.0,2.0,0.5,8.0,8.0,2.0,0.5
45,4-5 days,2-3 days,1-2 days,less productive,1.0,8.0,4.0,2.0,0.5,6.0,6.0,2.0,0.5
46,4-5 days,4-5 days,4-5 days,less productive,0.5,6.0,6.0,2.0,0.5,8.0,4.0,2.0,0.0
47,4-5 days,4-5 days,4-5 days,much more productive,1.5,8.0,2.5,0.5,0.0,9.5,2.5,0.5,1.5
48,4-5 days,2-3 days,2-3 days,more productive,2.5,8.5,3.0,2.0,0.5,9.0,4.0,2.0,2.0
49,4-5 days,3-4 days,4-5 days,much less productive,3.0,7.5,2.0,0.0,0.0,10.0,4.0,2.0,3.0
50,4-5 days,4-5 days,3-4 days,less productive,2.0,8.0,11.0,3.0,0.0,12.0,7.0,3.0,2.0
51,4-5 days,3-4 days,3-4 days,same productivity,0.1,6.0,6.0,3.0,0.0,7.0,6.0,3.0,0.1
52,4-5 days,4-5 days,1-2 days,much more productive,2.0,8.0,1.0,0.0,0.5,10.0,2.0,1.0,1.5
53,2-3 days,2-3 days,2-3 days,same productivity,0.5,3.0,3.5,3.0,0.0,2.0,4.0,4.0,0.5
54,1-2 days,4-5 days,3-4 days,much more productive,1.5,10.0,11.0,1.5,0.0,10.0,10.0,4.0,1.5
55,4-5 days,0-1 days,0-1 days,same productivity,1.5,8.0,8.0,0.5,0.5,8.0,10.0,0.5,1.0
56,2-3 days,2-3 days,2-3 days,less productive,1.0,8.0,3.0,2.0,0.0,8.0,3.0,3.0,1.0
57,0-1 days,2-3 days,2-3 days,more productive,2.0,8.0,4.0,0.0,0.3,7.5,6.0,0.0,1.7
58,2-3 days,2-3 days,2-3 days,more productive,1.5,6.0,5.0,2.0,0.5,6.0,7.0,3.0,1.0
59,4-5 days,4-5 days,4-5 days,much more productive,1.0,8.0,4.0,5.0,0.0,9.0,4.0,5.0,1.0
60,4-5 days,4-5 days,4-5 days,much more productive,3.0,9.0,2.0,1.0,0.5,10.0,3.0,2.0,2.5
61,4-5 days,2-3 days,1-2 days,much less productive,1.0,9.0,2.0,1.0,0.0,10.0,2.0,1.0,1.0
62,4-5 days,2-3 days,2-3 days,more productive,2.5,9.0,3.0,2.0,1.0,9.0,3.0,2.0,1.5
63,0-1 days,0-1 days,1-2 days,same productivity,1.0,3.0,3.5,2.0,1.0,6.0,4.0,2.0,0.0
64,4-5 days,4-5 days,1-2 days,more productive,3.0,9.0,2.0,1.0,1.0,10.0,2.0,1.5,2.0
65,4-5 days,4-5 days,2-3 days,same productivity,3.0,7.5,3.5,2.0,0.5,8.5,3.5,2.5,2.5
66,2-3 days,3-4 days,3-4 days,more productive,2.0,8.0,10.0,4.0,0.0,8.0,10.0,6.0,2.0
67,3-4 days,3-4 days,2-3 days,much less productive,1.0,9.0,4.0,2.0,0.5,6.0,6.0,4.0,0.5
68,4-5 days,4-5 days,2-3 days,much more productive,3.5,8.5,1.0,1.0,0.5,8.5,3.0,2.0,3.0
69,4-5 days,4-5 days,4-5 days,much more productive,0.5,8.0,3.0,1.0,0.5,9.0,2.0,3.0,0.0
70,4-5 days,4-5 days,4-5 days,less productive,0.5,8.0,2.0,2.0,0.0,9.0,2.0,2.0,0.5
71,4-5 days,2-3 days,2-3 days,more productive,3.0,7.5,5.5,2.0,0.0,8.0,8.0,2.0,3.0
72,4-5 days,4-5 days,4-5 days,more productive,3.0,8.0,3.0,2.0,1.0,9.0,4.0,2.0,2.0
73,4-5 days,4-5 days,2-3 days,same productivity,2.5,8.0,2.0,3.0,0.5,9.0,3.0,5.0,2.0
74,2-3 days,4-5 days,3-4 days,much more productive,3.0,8.0,1.0,3.0,0.0,6.0,6.0,4.0,3.0
75,4-5 days,4-5 days,4-5 days,much more productive,1.5,7.5,5.0,0.5,0.0,7.5,7.0,0.5,1.5
76,2-3 days,2-3 days,2-3 days,more productive,3.0,6.0,4.0,1.0,2.0,7.0,3.0,1.0,1.0
77,1-2 days,4-5 days,4-5 days,more productive,3.0,2.0,1.0,1.0,0.0,5.0,1.0,1.0,3.0
78,4-5 days,2-3 days,2-3 days,same productivity,3.0,7.0,1.0,4.0,0.5,7.0,3.0,4.0,2.5
79,4-5 days,4-5 days,4-5 days,much more productive,1.0,10.0,1.0,1.0,0.0,11.0,2.0,1.0,1.0
80,1-2 days,3-4 days,2-3 days,less productive,3.0,6.0,5.0,4.0,0.5,5.0,8.0,4.0,2.5
81,3-4 days,2-3 days,4-5 days,same productivity,2.5,10.0,2.0,3.0,0.5,2.5,2.0,3.0,2.0
82,4-5 days,3-4 days,3-4 days,more productive,1.0,7.0,3.5,1.0,0.5,7.0,4.0,1.0,0.5
83,4-5 days,4-5 days,3-4 days,same productivity,3.5,7.6,2.0,3.0,0.0,7.6,4.5,4.0,3.5
84,4-5 days,3-4 days,3-4 days,much more productive,6.0,7.0,2.0,2.0,1.0,8.0,4.0,4.0,5.0
85,4-5 days,1-2 days,1-2 days,same productivity,1.0,10.0,4.0,2.0,0.0,10.0,5.0,2.0,1.0
86,0-1 days,4-5 days,4-5 days,much less productive,0.2,14.0,3.0,0.0,0.0,12.0,3.0,2.0,0.2
87,4-5 days,1-2 days,0-1 days,much more productive,2.0,8.0,2.0,2.0,0.0,10.0,2.0,2.0,2.0
88,4-5 days,4-5 days,4-5 days,same productivity,2.5,7.0,3.0,2.0,0.5,8.0,4.0,2.0,2.0
89,1-2 days,3-4 days,3-4 days,much more productive,1.0,1.0,2.0,2.0,0.0,6.0,3.0,3.0,1.0
90,4-5 days,4-5 days,4-5 days,same productivity,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
91,1-2 days,2-3 days,2-3 days,much more productive,3.0,8.0,2.0,1.0,0.0,9.0,4.0,3.0,3.0
